title,vote_average,vote_count,tür,Tür_0,Tür_1,Tür_2,Tür_3,Tür_4,Tür_5,Tür_6,Tür_7,Tür_8,Tür_9,Tür_10,Tür_11,Tür_12,Tür_13,Tür_14,Tür_15,Tür_16,Tür_17,Tür_18,Tür_19
The Amazing Spider-Man 2,6.5,4179,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TRON: Legacy,6.3,2841,"['Adventure', 'Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Cars 2,5.8,2033,"['Animation', 'Family', 'Adventure', 'Comedy']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Green Lantern,5.1,2487,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Toy Story 3,7.6,4597,"['Animation', 'Family', 'Comedy']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Terminator Salvation,5.9,2463,"['Action', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Furious 7,7.3,4176,['Action'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
World War Z,6.7,5560,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
X-Men: Days of Future Past,7.5,6032,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Star Trek Into Darkness,7.4,4418,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Jack the Giant Slayer,5.5,2598,"['Action', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Great Gatsby,7.3,3769,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Prince of Persia: The Sands of Time,6.2,2317,"['Adventure', 'Fantasy', 'Action', 'Romance']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Pacific Rim,6.7,4794,"['Action', 'Science Fiction', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Transformers: Dark of the Moon,6.1,3299,"['Action', 'Science Fiction', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,"['Adventure', 'Action']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Good Dinosaur,6.6,1736,"['Adventure', 'Animation', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Brave,6.7,4641,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Star Trek Beyond,6.6,2568,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
WALL·E,7.8,6296,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush Hour 3,6.1,783,"['Action', 'Comedy', 'Crime', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2012,5.6,4903,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
A Christmas Carol,6.6,1095,"['Animation', 'Drama']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jupiter Ascending,5.2,2768,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Legend of Tarzan,5.5,2430,"['Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,"['Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse,6.4,4721,['Science Fiction'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Dark Knight,8.2,12002,"['Drama', 'Action', 'Crime', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Up,7.7,6870,"['Animation', 'Comedy', 'Family', 'Adventure']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Monsters vs Aliens,6.0,1423,"['Animation', 'Family', 'Adventure', 'Science Fiction']",0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Iron Man,7.4,8776,"['Action', 'Science Fiction', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Hugo,7.0,2141,"['Adventure', 'Drama', 'Family']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Wild Wild West,5.1,1020,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
The Mummy: Tomb of the Dragon Emperor,5.2,1387,"['Adventure', 'Action', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Suicide Squad,5.9,7458,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Evan Almighty,5.3,1151,"['Fantasy', 'Comedy', 'Family']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Edge of Tomorrow,7.6,4858,"['Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Waterworld,5.9,992,"['Adventure', 'Action']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
G.I. Joe: The Rise of Cobra,5.6,1962,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Inside Out,8.0,6560,"['Drama', 'Comedy', 'Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
The Jungle Book,6.7,2892,"['Family', 'Adventure', 'Drama', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Iron Man 2,6.6,6849,"['Adventure', 'Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Snow White and the Huntsman,5.8,3118,"['Adventure', 'Fantasy', 'Drama']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Maleficent,7.0,4496,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Dawn of the Planet of the Apes,7.3,4410,"['Science Fiction', 'Action', 'Drama', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
The Lovers,4.8,34,"['Action', 'Adventure', 'Science Fiction', 'Romance']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0
47 Ronin,5.9,1326,"['Drama', 'Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Captain America: The Winter Soldier,7.6,5764,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Shrek Forever After,6.0,1959,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Tomorrowland,6.2,2846,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Big Hero 6,7.8,6135,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Wreck-It Ralph,7.1,4570,"['Family', 'Animation', 'Comedy', 'Adventure']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
The Polar Express,6.4,1474,"['Adventure', 'Animation', 'Family', 'Fantasy']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Independence Day: Resurgence,4.9,2491,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
How to Train Your Dragon,7.5,4227,"['Fantasy', 'Adventure', 'Animation', 'Family']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Terminator 3: Rise of the Machines,5.9,2143,"['Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Guardians of the Galaxy,7.9,9742,"['Action', 'Science Fiction', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Interstellar,8.1,10867,"['Adventure', 'Drama', 'Science Fiction']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Inception,8.1,13752,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
Shin Godzilla,6.5,143,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
The Hobbit: An Unexpected Journey,7.0,8297,"['Adventure', 'Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Fast and the Furious,6.6,3428,"['Action', 'Crime', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Curious Case of Benjamin Button,7.3,3292,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
X-Men: First Class,7.1,5181,"['Action', 'Science Fiction', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Hunger Games: Mockingjay - Part 2,6.6,3984,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Sorcerer's Apprentice,5.8,1470,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
Poseidon,5.5,583,"['Adventure', 'Action', 'Drama', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Alice Through the Looking Glass,6.5,1725,['Fantasy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek the Third,6.0,2278,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Warcraft,6.3,2268,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Terminator Genisys,5.8,3631,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,"['Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Pearl Harbor,6.6,1791,"['History', 'Romance', 'War']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Transformers,6.6,4040,"['Adventure', 'Science Fiction', 'Action']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Alexander,5.6,927,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
Harry Potter and the Order of the Phoenix,7.4,5494,"['Adventure', 'Fantasy', 'Family', 'Mystery']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Harry Potter and the Goblet of Fire,7.5,5608,"['Adventure', 'Fantasy', 'Family']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Hancock,6.2,2961,"['Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I Am Legend,6.9,4853,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Charlie and the Chocolate Factory,6.7,3624,"['Adventure', 'Comedy', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Ratatouille,7.5,4369,"['Animation', 'Comedy', 'Family', 'Fantasy']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Batman Begins,7.5,7359,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Madagascar: Escape 2 Africa,6.2,1810,"['Family', 'Animation']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Night at the Museum: Battle of the Smithsonian,5.9,1971,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
X-Men Origins: Wolverine,6.2,4021,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Matrix Revolutions,6.4,3096,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Frozen,7.3,5295,"['Animation', 'Adventure', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Matrix Reloaded,6.7,3443,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Thor: The Dark World,6.8,4755,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mad Max: Fury Road,7.2,9427,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Angels & Demons,6.5,2129,"['Thriller', 'Mystery']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thor,6.6,6525,"['Adventure', 'Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Bolt,6.3,1750,"['Animation', 'Family', 'Adventure', 'Comedy']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
G-Force,5.1,510,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Wrath of the Titans,5.5,1431,['Adventure'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dark Shadows,5.7,2320,"['Comedy', 'Fantasy']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mission: Impossible - Rogue Nation,7.1,3224,"['Action', 'Adventure', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Wolfman,5.5,549,"['Drama', 'Horror', 'Thriller']",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bee Movie,5.7,1171,"['Family', 'Animation', 'Adventure', 'Comedy']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Kung Fu Panda 2,6.7,1880,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Airbender,4.7,1151,"['Action', 'Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Mission: Impossible III,6.5,2028,"['Adventure', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
White House Down,6.4,1891,"['Action', 'Drama', 'Thriller']",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mars Needs Moms,5.5,199,"['Adventure', 'Animation', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Flushed Away,6.0,874,"['Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Pan,5.9,954,"['Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mr. Peabody & Sherman,6.7,843,"['Animation', 'Adventure', 'Family']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Troy,6.9,2759,"['Adventure', 'Drama', 'War']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Madagascar 3: Europe's Most Wanted,6.4,1808,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Die Another Day,5.8,1092,"['Adventure', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ghostbusters,5.3,2142,"['Action', 'Fantasy', 'Comedy']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Armageddon,6.4,2482,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Men in Black II,6.0,3114,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
Beowulf,5.5,841,"['Adventure', 'Action', 'Animation']",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Kung Fu Panda 3,6.7,1603,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Mission: Impossible - Ghost Protocol,6.8,3972,"['Action', 'Thriller', 'Adventure']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rise of the Guardians,7.1,1922,"['Fantasy', 'Animation', 'Family']",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fun with Dick and Jane,5.9,627,['Comedy'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Last Samurai,7.3,1895,"['Drama', 'Action', 'War', 'History']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Exodus: Gods and Kings,5.6,1921,"['Adventure', 'Drama', 'Action']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Star Trek,7.4,4518,"['Science Fiction', 'Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Spider-Man,6.8,5265,"['Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon 2,7.6,3106,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
Gods of Egypt,5.3,1277,['Fantasy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stealth,4.9,331,['Action'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Watchmen,7.0,2811,"['Action', 'Mystery', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Lethal Weapon 4,6.3,767,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Hulk,5.3,1533,"['Drama', 'Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
G.I. Joe: Retaliation,5.4,3025,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Sahara,5.7,434,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1
Final Fantasy: The Spirits Within,5.9,433,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Captain America: The First Avenger,6.6,7047,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The World Is Not Enough,6.0,862,"['Adventure', 'Action', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Master and Commander: The Far Side of the World,6.9,790,['Adventure'],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
